t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8212849 -5523426
50 -4668173 -1 379733827 101 -7747172 -5808037
100 -4668173 -1 379733827 101 -7270777 -6072424
150 -4668173 -1 379733827 101 -6785459 -6315980
200 -4668173 -1 379733827 101 -6293065 -6538399
250 -4668173 -1 379733827 101 -5795426 -6739667
300 -4668173 -1 379733827 101 -5294309 -6920038
350 -4668173 -1 379733827 101 -4791364 -7080004
400 -4668173 -1 379733827 101 -4288100 -7220245
450 -4668173 -1 379733826 101 -3785858 -7341593
500 -4668173 -1 379733826 101 -3285806 -7444985
550 -4668173 -1 379733826 101 -2788938 -7531426
600 -4668173 -1 379733826 101 -2296082 -7601953
650 -4668173 -1 379733826 101 -1807911 -7657609
700 -4668173 -1 379733826 101 -1324962 -7699422
750 -4668173 -1 379733826 101 -847646 -7728385
800 -4668173 -1 379733826 101 -376270 -7745452
850 -4668173 -1 379733826 101 88949 -7751524
900 -4668173 -1 379733825 101 547873 -7747446
950 -4668173 -1 379733825 101 1000423 -7734008
1000 -4668173 -1 379733825 101 1446574 -7711945
1050 -4668173 -1 379733825 101 1886344 -7681934
1100 -4668173 -1 379733825 101 2319782 -7644602
1150 -4668173 -1 379733825 101 2746966 -7600523
1200 -4668173 -1 379733824 101 3167991 -7550229
1250 -4668173 -1 379733824 101 3582972 -7494203
1300 -4668173 -1 379733824 101 3992032 -7432892
1350 -4668173 -1 379733824 101 4395304 -7366703
1400 -4668173 -1 379733824 101 4792926 -7296011
1450 -4668173 -1 379733823 101 5185039 -7221158
1500 -4668173 -1 379733823 101 5571787 -7142461
1550 -4668173 -1 379733823 101 5953313 -7060206
1600 -4668173 -1 379733823 101 6329760 -6974659
1650 -4668173 -1 379733823 101 6701267 -6886064
1700 -4668173 -1 379733822 101 7067975 -6794643
1750 -4668173 -1 379733822 101 7430018 -6700604
1800 -4668173 -1 379733822 101 7787528 -6604135
1850 -4668173 -1 379733821 101 8140635 -6505411
1900 -4668173 -1 379733821 101 8489463 -6404593
1950 -4668173 -1 379733821 101 8834135 -6301830
2000 -4668173 -1 379733821 101 9174767 -6197259
2050 -4668173 -1 379733820 101 9511472 -6091008
2100 -4668173 -1 379733820 101 9844362 -5983194
2150 -4668173 -1 379733820 101 10173543 -5873927
2200 -4668173 -1 379733819 101 10499115 -5763306
2250 -4668173 -1 379733819 101 10821179 -5651427
2300 -4668173 -1 379733819 101 11139829 -5538376
2350 -4668173 -1 379733818 101 11455158 -5424236
2400 -4668173 -1 379733818 101 11767253 -5309080
2450 -4668173 -1 379733818 101 12076201 -5192980
2500 -4668173 -1 379733817 101 12382083 -5076001
2550 -4668173 -1 379733817 101 12684978 -4958204
2600 -4668173 -1 379733816 101 12984963 -4839647
2650 -4668173 -1 379733816 101 13282112 -4720383
2700 -4668173 -1 379733816 101 13576495 -4600462
2750 -4668173 -1 379733815 101 13868181 -4479931
2800 -4668173 -1 379733815 101 14157235 -4358833
2850 -4668173 -1 379733814 101 14443723 -4237210
2900 -4668173 -1 379733814 101 14727704 -4115099
2950 -4668173 -1 379733813 101 15009238 -3992538
3000 -4668173 -1 379733813 101 15288383 -3869560
3050 -4668173 -1 379733813 101 15565194 -3746197
3100 -4668173 -1 379733812 101 15839723 -3622479
3150 -4668173 -1 379733812 101 16112023 -3498433
3200 -4668173 -1 379733811 101 16382144 -3374088
3250 -4668173 -1 379733811 101 16650133 -3249467
3300 -4668173 -1 379733810 101 16916037 -3124594
3350 -4668173 -1 379733810 101 17179901 -2999491
